fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,good
6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,good
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,good
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,good
6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,good
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,good
6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,good
7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,good
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,good
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,good
5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,good
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,good
7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,good
7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,good
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,good
5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,good
7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,good
7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,good
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,good
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,good
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,good
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,not good
6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,good
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,good
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,good
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,not good
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,good
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,good
5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,good
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,not good
7,0.33,0.28,5.7,0.033,39,204,0.99176,3.17,0.64,12.5,good
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,good
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,good
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,not good
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,good
6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,good
6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,good
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,good
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,not good
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,not good
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,not good
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,good
7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,not good
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,not good
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,good
6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,not good
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,good
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,not good
5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,good
5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,good
6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,good
7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,good
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,good
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,good
6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,good
7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,not good
7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,good
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,good
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,not good
6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,not good
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,not good
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,not good
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,good
6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,good
6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,good
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,not good
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,good
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,good
6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,not good
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,good
6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2,good
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,good
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,not good
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,good
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,good
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,good
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,not good
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,not good
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,good
6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,good
6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,not good
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,good
7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,not good
6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,not good
6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,not good
6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,not good
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,not good
7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,good
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,good
6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,good
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,good
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,good
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,not good
6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,not good
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,good
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,good
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,good
6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,good
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,not good
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,good
6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,good
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,not good
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,not good
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,not good
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.3333333333333,good
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,good
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,good
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,not good
6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,good
6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,good
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,good
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,not good
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,good
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,good
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,good
5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,good
6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,good
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,not good
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,good
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,good
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,good
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,not good
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,good
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,good
7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,good
8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,good
6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,good
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,not good
6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,good
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,good
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,good
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,not good
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,good
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,not good
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,not good
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,good
7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,good
7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,good
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,good
6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12,good
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,good
8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,not good
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,not good
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,not good
6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,good
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,not good
6.8,0.38,0.29,9.9,0.037,40,146,0.99326,3.11,0.37,11.5,good
8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2,good
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,not good
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,good
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,not good
6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,good
7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,not good
7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,good
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,good
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,good
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,not good
6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,good
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,good
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,good
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,good
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,not good
8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,good
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,not good
8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,good
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,good
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,not good
7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,not good
6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,not good
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,good
7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,good
5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,good
6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,not good
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,good
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,good
6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,good
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,not good
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,not good
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,not good
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,good
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,not good
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,not good
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,good
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,not good
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,good
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,good
6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,good
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,not good
7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,good
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,good
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,good
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,good
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,not good
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,good
7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,not good
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,not good
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,not good
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,not good
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,good
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,good
6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,good
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,good
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,good
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,not good
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,good
6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,good
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,good
5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,good
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,good
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,good
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,not good
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,not good
6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,good
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,good
7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8,not good
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,not good
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,not good
6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,good
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,good
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,good
7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,good
7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,good
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,not good
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,good
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,good
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,good
6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,good
6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,good
7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,good
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,not good
7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,good
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,good
8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,good
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,not good
6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,not good
7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,not good
8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,good
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,not good
5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,good
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,not good
6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,good
6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,good
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,not good
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,not good
5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,not good
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,not good
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,good
5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,good
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,good
5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,good
6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,good
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,good
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,not good
7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,good
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,good
6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,good
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,good
7.1,0.25,0.25,1.6,0.046,50,181,0.9925,3.2,0.42,11,good
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,not good
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,good
6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,not good
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,good
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,good
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,good
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,not good
5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,good
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,not good
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,good
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,good
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,good
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,not good
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,good
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,not good
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,not good
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,good
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,not good
6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,good
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,good
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,good
6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,good
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,good
6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,good
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,not good
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,good
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,good
5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,good
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,not good
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,not good
6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,good
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,not good
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,good
